OTU	Btaxo_rank1	Btaxo_rank2	Btaxo_rank3	Btaxo_rank4	Btaxo_rank5	Bmorpho	Bacc_number	cov%	id%	Ttaxo_rank1	Ttaxo_rank2	Ttaxo_rank3	Ttaxo_rank4	Ttaxo_rank5	Tmorpho	Tacc_number	node	Brench_L	occurrence	readnumber	TP4	TP5	TP6	TP7	TP8	TP9	TP10	TP11	TP12	TP13	TP14	TP15	TP17	TP18	TP19	TP20	TP21	TP22	TP23	TP24	TP25	TP26	TP27	TP28	TP29	TP30	TP31	TP32	TP33	TP34	TP35	TP36	TP37	TP38	TP39	TP40	TP41	ANP-10-L-1-80-RNA-SAR	ANP-10-L-1-10-RNA-SAR	ANP-10-L-1-2-RNA-SAR	ANP-10-M-1-80-RNA-SAR	ANP-10-M-1-10-RNA-SAR	ANP-10-M-1-2-RNA-SAR	ANP-10-H-1-80-RNA-SAR	ANP-10-H-1-10-RNA-SAR	ANP-10-H-1-2-RNA-SAR	ANP-10-L-2-80-RNA-SAR	ANP-10-L-2-10-RNA-SAR	ANP-10-L-2-2-RNA-SAR	ANP-10-M-2-80-RNA-SAR	ANP-10-M-2-10-RNA-SAR	ANP-10-M-2-2-RNA-SAR	ANP-10-H-2-80-RNA-SAR	ANP-10-H-2-10-RNA-SAR	ANP-10-H-2-2-RNA-SAR	ANP-10-L-3-80-RNA-SAR	ANP-10-L-3-10-RNA-SAR	ANP-10-L-3-2-RNA-SAR	ANP-10-M-3-80-RNA-SAR	ANP-10-M-3-10-RNA-SAR	ANP-10-M-3-2-RNA-SAR	ANP-10-H-3-80-RNA-SAR	ANP-10-H-3-10-RNA-SAR	ANP-10-H-3-2-RNA-SAR	ANP-10-O-4-80-RNA-SAR	ANP-10-O-4-10-RNA-SAR	ANP-10-O-4-2-RNA-SAR	ANP-10-M-4-80-RNA-SAR	ANP-10-M-4-10-RNA-SAR	ANP-10-M-4-2-RNA-SAR	ANP-10-H-4-80-RNA-SAR	ANP-10-H-4-10-RNA-SAR	ANP-10-H-4-2-RNA-SAR	ANP-10-M-5-80-RNA-SAR	ANP-10-M-5-10-RNA-SAR	ANP-10-M-5-2-RNA-SAR	ANP-10-M-6-80-RNA-SAR	ANP-10-M-6-10-RNA-SAR	ANP-10-M-6-2-RNA-SAR	ANP-10-H-5-80-RNA-SAR	ANP-10-H-5-10-RNA-SAR	ANP-10-H-5-2-RNA-SAR	ANP-10-H-6-80-RNA-SAR	ANP-10-H-6-10-RNA-SAR	ANP-10-H-6-2-RNA-SAR	ANP-10-H-7-80-RNA-SAR	ANP-10-H-7-10-RNA-SAR	ANP-10-H-7-2-RNA-SAR	ANP-10-O-8-80-RNA-SAR	ANP-10-O-8-10-RNA-SAR	ANP-10-O-8-2-RNA-SAR	ANP-5-1-1-80-RNA-SAR	ANP-5-1-1-10-RNA-SAR	ANP-5-1-1-2-RNA-SAR	ANP-5-2-1-80-RNA-SAR	ANP-5-2-1-10-RNA-SAR	ANP-5-2-1-2-RNA-SAR	ANP-5-3-1-80-RNA-SAR	ANP-5-3-1-10-RNA-SAR	ANP-5-3-1-2-RNA-SAR	ANP-5-O-1-80-RNA-SAR	ANP-5-O-1-10-RNA-SAR	ANP-5-O-1-2-RNA-SAR	ANP-5-1-2-80-RNA-SAR	ANP-5-1-2-10-RNA-SAR	ANP-5-1-2-2-RNA-SAR	ANP-5-2-2-80-RNA-SAR	ANP-5-2-2-10-RNA-SAR	ANP-5-2-2-2-RNA-SAR	ANP-5-3-2-80-RNA-SAR	ANP-5-3-2-10-RNA-SAR	ANP-5-3-2-2-RNA-SAR	ANP-5-O-2-80-RNA-SAR	ANP-5-O-2-10-RNA-SAR	ANP-5-O-2-2-RNA-SAR	ANP-5-1-3-80-RNA-SAR	ANP-5-1-3-10-RNA-SAR	ANP-5-1-3-2-RNA-SAR	ANP-5-2-3-80-RNA-SAR	ANP-5-2-3-10-RNA-SAR	ANP-5-2-3-2-RNA-SAR	ANP-5-3-3-80-RNA-SAR	ANP-5-3-3-10-RNA-SAR	ANP-5-3-3-2-RNA-SAR	ANP-5-O-3-80-RNA-SAR	ANP-5-O-3-10-RNA-SAR	ANP-5-O-3-2-RNA-SAR	ANP-5-O-5-80-RNA-SAR	ANP-5-O-5-10-RNA-SAR	ANP-5-O-5-2-RNA-SAR	ANP-5-1-4-80-RNA-SAR	ANP-5-1-4-10-RNA-SAR	ANP-5-1-4-2-RNA-SAR	ANP-5-O-4-80-RNA-SAR	ANP-5-O-4-10-RNA-SAR	ANP-5-O-4-2-RNA-SAR	ANP-5-3-4-80-RNA-SAR	ANP-5-3-4-10-RNA-SAR	ANP-5-3-4-2-RNA-SAR	ANP-5-3-5-80-RNA-SAR	ANP-5-3-5-10-RNA-SAR	ANP-5-3-5-2-RNA-SAR	ANP-5-3-6-80-RNA-SAR	ANP-5-3-6-10-RNA-SAR	ANP-5-3-6-2-RNA-SAR	ANP-5-3-7-80-RNA-SAR	ANP-5-3-7-10-RNA-SAR	ANP-5-3-7-2-RNA-SAR	ANP-5-3-8-80-RNA-SAR	ANP-5-3-8-10-RNA-SAR	ANP-5-3-8-2-RNA-SAR	ANP-10-M-6-80-2-RNA-SAR	ANP-10-H-6-80-2-RNA-SAR	ANP-10-L-2-2-2-RNA-SAR	ANP-10-M-2-2-2-RNA-SAR	ANP-10-H-3-10-2-RNA-SAR	ANP-10-M-4-10-2-RNA-SAR	ANP-5-O-4-80-2-RNA-SAR	ANP-5-3-3-10-2-RNA-SAR	ANP-5-O-2-10-2-RNA-SAR	ANP-5-1-1-80-2-RNA-SAR	ANP-10-L-1-80-DNA-SAR	ANP-10-L-1-10-DNA-SAR	ANP-10-L-1-2-DNA-SAR	ANP-10-M-1-10-DNA-SAR	ANP-10-M-1-2-DNA-SAR	ANP-10-L-2-10-DNA-SAR	ANP-10-M-2-80-DNA-SAR	ANP-10-M-2-10-DNA-SAR	ANP-10-M-2-2-DNA-SAR	ANP-10-H-2-10-DNA-SAR	ANP-10-H-2-2-DNA-SAR	ANP-10-L-3-10-DNA-SAR	ANP-10-L-3-2-DNA-SAR	ANP-10-M-3-2-DNA-SAR	ANP-5-3-1-10-DNA-SAR	ANP-5-3-1-2-DNA-SAR	ANP-5-O-1-10-DNA-SAR	ANP-5-O-2-10-DNA-SAR	ANP-5-O-3-10-DNA-SAR	ANP-5-O-4-10-DNA-SAR	ANP-5-1-1-10-DNA-SAR	ANP-5-1-1-2-DNA-SAR	ANP-5-2-1-10-DNA-SAR	ANP-5-2-1-2-DNA-SAR	ANP-5-O-1-80-DNA-SAR	ANP-5-O-1-2-DNA-SAR	ANP-5-1-2-10-DNA-SAR	ANP-5-1-2-2-DNA-SAR	ANP-5-2-2-10-DNA-SAR	ANP-5-2-2-2-DNA-SAR	ANP-5-3-2-80-DNA-SAR	ANP-5-3-2-10-DNA-SAR	ANP-5-3-2-2-DNA-SAR	ANP-O-2-80-DNA-SAR	ANP-O-2-2-DNA-SAR	ANP-5-1-3-10-DNA-SAR	ANP-5-1-3-2-DNA-SAR	ANP-5-2-3-10-DNA-SAR	ANP-5-2-3-2-DNA-SAR	ANP-5-3-3-10-DNA-SAR	ANP-5-3-3-2-DNA-SAR	ANP-5-O-3-10-DNA-SAR-LAKM1607	ANP-5-O-5-10-DNA-SAR	ANP-5-O-5-2-DNA-SAR	ANP-5-1-4-10-DNA-SAR	ANP-5-1-4-2-DNA-SAR	ANP-5-O-4-2-DNA-SAR	ANP-5-3-4-10-DNA-SAR	ANP-5-3-4-2-DNA-SAR	ANP-5-3-5-10-DNA-SAR	ANP-5-3-5-2-DNA-SAR	ANP-5-3-6-10-DNA-SAR	ANP-5-3-6-2-DNA-SAR	ANP-5-3-7-80-DNA-SAR	ANP-5-3-7-10-DNA-SAR	ANP-5-3-7-2-DNA-SAR	ANP-5-3-8-10-DNA-SAR	ANP-5-3-8-2-DNA-SAR	ANP-10-L-2-2-DNA-SAR	ANP-10-M-3-10-DNA-SAR	ANP-10-H-3-10-DNA-SAR	ANP-10-H-3-2-DNA-SAR	ANP-10-O-4-10-DNA-SAR	ANP-10-O-4-2-DNA-SAR	ANP-10-M-4-10-DNA-SAR	ANP-10-M-4-2-DNA-SAR	ANP-10-H-4-10-DNA-SAR	ANP-10-H-4-2-DNA-SAR	ANP-10-M-5-10-DNA-SAR	ANP-10-M-5-2-DNA-SAR	ANP-10-M-6-10-DNA-SAR	ANP-10-M-6-2-DNA-SAR	ANP-10-H-5-10-DNA-SAR	ANP-10-H-5-2-DNA-SAR	ANP-10-H-6-10-DNA-SAR	ANP-10-H-6-2-DNA-SAR	ANP-10-H-7-10-DNA-SAR	ANP-10-H-7-2-DNA-SAR	ANP-10-O-8-10-DNA-SAR	ANP-10-O-8-2-DNA-SAR
OTU258	Euk	SAR	Alv	Ci	un	_Ciliate	AM412525	100	96%	SAR	Alv	Ci	un		Ciliate-sp	AM412525	4	0.105854464	152	2113	4	0	3	9	6	5	3	8	4	1	10	0	2	3	3	4	3	1	5	4	4	3	7	0	4	9	0	1	3	0	10	7	2	1	0	7	3	0	0	0	0	0	28	0	0	15	0	0	4	0	0	0	0	1	8	0	1	0	0	0	3	0	3	11	0	0	18	0	0	3	0	0	3	0	0	0	0	1	3	0	4	12	0	1	4	1	0	16	0	7	2	2	19	3	21	149	7	3	0	2	2	43	9	10	75	3	7	14	6	0	6	2	0	26	13	1	105	12	0	69	4	5	60	4	1	60	33	0	46	0	5	113	9	0	29	1	13	56	1	9	0	5	0	16	0	0	25	10	1	18	4	0	0	6	2	9	0	12	70	34	13	0	0	0	0	24	0	0	0	11	0	23	0	0	5	0	2	5	5	37	3	6	24	31	11	0	12	6	17	4	0	0	0	0	0	0	20	46	15	0	3	2	18	6	4	5	7	0	0	0	0	9	0	10	0	1	6	8	2	0	0	2	19	0	2	0	1	1	0	0	0	0	67	0	0	0	1	0	10	1	50
OTU483	2427r									SAR	Alv	Ap	Co	Gr	Monocystis-agilis	AF457127	4	1.540629234	10	2084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	22	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2024	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU276	Euk	SAR	Str	So		_Solenicola	HM163290	100	95%	SAR	Str	So			Solenicola-setigera	HM163290	2	0.117941182	150	2077	0	0	2	0	0	0	1	2	4	0	3	0	1	0	4	1	0	1	4	2	1	2	1	0	0	0	3	1	6	1	0	0	0	0	1	0	0	1	0	7	0	1	7	0	0	11	0	0	0	0	2	17	1	0	0	4	0	8	5	0	16	5	1	6	6	0	25	0	2	16	0	4	22	4	1	15	9	3	25	0	3	52	2	3	22	0	3	21	0	1	48	0	0	38	2	1	34	42	1	10	1	1	33	7	2	33	11	2	20	3	2	43	8	0	23	0	5	61	0	2	39	19	5	38	1	2	85	0	8	15	0	2	68	15	4	21	7	5	23	0	0	8	1	1	44	2	1	22	21	8	45	11	2	2	26	0	1	43	1	4	5	0	0	6	0	58	0	0	0	9	0	34	0	12	4	1	16	0	0	15	0	0	23	0	11	0	0	0	8	0	6	7	0	11	0	18	3	1	0	23	0	28	0	6	11	0	50	0	0	34	0	26	0	19	0	0	17	0	23	3	0	0	57	0	27	0	0	0	66	0	0	0	0	0	10	0	15	0	9	0	0
OTU226	Euk	SAR	Rhi	Ac	Sy	Am_Amphibelone	JN811170	100	100%	SAR	Rhi	Ac	Sy	Am	Amphibelone-cultellata	AB178581	2	0.003522383	37	2020	35	0	46	35	57	22	54	93	114	54	146	106	64	65	57	89	88	97	91	85	41	46	32	30	48	39	31	24	76	15	48	43	69	11	28	31	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU401	Euk	SAR	Str	Ch	Ch	Pa_Paraphysomonas	JQ967305	100	94%	SAR	Str	Ch	Ch	Ch	Uroglena-sp	EU024983	3	0.242497185	110	2002	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	19	0	2	19	3	0	1	0	0	0	0	0	0	0	3	1	17	39	0	152	0	3	129	8	0	40	48	0	23	2	0	66	7	0	23	128	0	31	10	0	109	0	0	9	2	0	12	0	0	27	15	0	7	2	0	4	18	0	51	2	0	71	10	0	64	9	0	16	17	0	6	3	0	1	3	0	5	5	0	7	5	0	1	2	0	2	0	0	8	1	0	3	6	0	5	1	1	0	22	0	4	3	0	4	6	0	5	0	0	5	4	0	1	19	0	3	26	0	2	8	0	4	1	0	3	11	0	1	2	0	62	21	0	2	23	0	0	35	0	0	3	0	36	0	0	0	6	0	68	0	12	27	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	18	0	0	21	0	1	0	0	0	0	0	0	0	17	1	0	0	0	0	0	0	44	86	0	0	0	6	0	0	4	0	0	49	0	0	0	0	0	10	0	0	0	0	0	3	0	16	0	0	0	0
OTU277	Euk	SAR	Alv	Ci	In	Ph_Trochilia	JN867016	100	96%	SAR	Alv	Ci	In	Ph	Trochilia-petrani	JN867016	3	0.142697094	60	1989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	76	0	5	0	0	0	0	0	49	49	0	3	0	0	0	0	504	22	15	0	0	0	0	0	0	58	22	11	0	0	0	0	0	3	69	37	30	2	0	1	0	0	2	0	0	0	0	0	1	4	25	70	0	0	10	0	5	7	0	0	5	206	3	1	0	0	17	0	0	17	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	7	0	5	14	12	0	0	1	0	0	0	0	0	0	0	0	4	0	7	16	70	9	14	250	0	0	103	15	79	1	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU354	Euk	SAR	Str	Oo	Sa	Sa_Pythiopsis	KP098376	100	96%	SAR	Str	Ba	Ba	Ba	Pinnularia-obscura	AM743105	2	0.207326923	149	1979	0	125	2	1	1	0	2	1	0	0	0	2	4	0	1	4	0	5	1	8	7	3	1	6	1	1	4	0	0	6	4	2	6	0	1	20	19	0	0	1	1	0	24	0	0	6	15	0	14	21	0	2	2	0	24	6	3	50	19	0	9	2	0	8	0	0	2	3	3	4	0	0	1	2	0	4	0	0	5	1	0	6	1	0	6	7	0	11	2	0	0	3	0	22	1	0	7	1	0	8	0	1	1	6	1	11	7	0	5	0	0	5	3	0	6	5	2	7	6	1	3	3	0	1	0	0	3	6	0	2	2	0	4	2	0	1	3	0	3	0	0	1	1	0	1	0	0	2	1	0	4	0	0	20	3	0	3	0	0	0	16	0	0	3	8	105	0	1	14	53	0	89	0	195	71	0	24	0	2	1	0	0	33	3	21	0	3	1	49	0	0	25	7	9	7	1	0	79	0	13	0	9	1	3	5	3	34	3	0	31	0	13	0	8	0	0	35	0	20	21	0	2	34	1	80	0	0	0	1	0	0	0	0	0	3	0	24	0	119	0	15
OTU283	Euk	SAR	Alv	Di	Pr	Pr_Prorocentrum	DQ174089	100	100%	SAR	Alv	Di	Pr	Pr	Prorocentrum-fukuyoi	EU196420	2	0.132344546	114	1952	41	40	17	48	27	48	36	32	51	15	33	10	8	36	19	39	12	21	3	18	26	21	67	16	10	44	11	21	15	6	31	57	16	15	107	16	201	0	8	0	0	15	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	4	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	4	0	0	6	0	0	6	0	0	2	0	0	6	0	1	5	2	0	11	6	0	13	0	0	12	0	0	4	0	0	14	0	0	5	4	0	27	2	0	34	1	0	1	2	0	15	0	1	35	1	0	2	6	0	42	0	0	5	0	1	7	1	7	129	0	0	23	0	0	26	0	0	6	0	0	33	1	0	0	2	1	2	0	0	33	10	0	0	1	0	8	0	0	0	15	0	0	0	0	0	0	1	0	0	5	0	0	4	0	2	1	0	1	0	0	0	1	0	1	0	0	0	0	0	23	0	6	0	5	7	0	4	0	0	1	0	6	0	0	0	0	8	0	7	0	0	0	6	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	8	0	0	0
OTU240	Euk	SAR	Str	Ba	Co	Ch_Chaetoceros	EU090012	100	94%	SAR	Str	Ba	Co	Ch	Chaetoceros-neogracilis	EU090012	2	0.153894435	91	1946	8	0	1	3	1	1	11	4	4	1	2	0	6	12	1	2	0	10	2	3	22	13	11	24	12	12	27	4	6	10	24	0	29	107	112	3	18	0	59	0	0	69	0	0	16	1	0	0	4	0	68	30	0	75	2	14	47	3	0	26	11	1	42	20	0	7	6	0	13	0	0	45	1	0	90	18	0	50	2	0	63	1	5	58	1	0	91	4	0	55	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	10	88	24	0	0	0	0	0	4	0	52	2	21	0	22	0	53	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	57	11	8	2	0	0	12	0	0	0	0	0	0	0	5	0	8	0	12	0
OTU250	Euk	SAR	Alv	Di	Gy	Gy_Gyrodinium	AB120001	100	100%	SAR	Alv	Di	Gy	Gy	Gyrodinium-cf	KP790153	2	0.001628722	161	1945	22	0	0	0	0	5	0	4	7	6	0	0	0	0	3	0	0	0	3	1	9	5	7	28	5	10	13	9	0	1	17	0	0	9	0	0	0	0	7	7	0	14	0	0	11	17	0	0	1	2	1	0	0	1	0	0	1	2	5	0	8	1	6	1	0	1	0	1	1	1	0	1	0	0	1	0	1	12	2	0	1	3	1	2	0	0	1	2	0	12	6	0	0	4	2	21	2	0	13	1	1	22	13	0	7	3	4	2	1	0	8	1	4	40	16	0	10	1	14	29	4	24	13	3	0	26	36	0	26	1	0	10	2	0	40	4	14	65	1	2	8	1	0	5	2	0	4	2	2	45	17	2	0	14	7	4	0	10	8	29	0	0	27	4	25	0	108	0	66	9	0	2	54	1	17	6	1	1	5	5	11	19	13	12	12	0	5	4	6	0	12	39	10	17	0	22	1	0	18	1	0	21	4	12	3	15	45	3	0	0	17	0	3	0	0	8	1	44	22	18	0	11	28	0	0	0	0	1	0	0	0	0	5	0	0	0	70	16	73	16	28
OTU229	7696r									SAR	Alv	Ci	In	Ph	Trochilioides-recta	JN867017	4	0.249722436	38	1931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	39	0	0	0	0	0	22	0	139	42	0	0	1	0	11	20	6	50	5	0	0	0	0	0	9	0	16	0	0	2	0	0	0	2	0	29	41	0	172	6	314	9	264	1	0	2	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	2	0	0	0	0	4	0	37	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0
OTU207	Euk	SAR	Alv	Ci	In	Pr_Pelagothrix	AB486009	100	95%	SAR	Alv	Ci	In	Pr	Pelagothrix-alveolata	AB486009	6	0.151317592	22	1930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1152	57	123	153	4	14	6	0	5	0	0	0	0	0	0	0	0	0	63	19	0	0	6	0	0	0	0	0	8	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	7	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	34	0	0	0	0	0	0	0	0	0	11	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0
OTU308	Euk	SAR	Alv	Ci	In	Ol_Cothurnia	KU363275	100	100%	SAR	Alv	Ci	In	Ol	Vaginicola-sp	KU363266	2	0.120357552	98	1905	0	6	1	0	1	0	2	0	23	0	0	1	9	0	4	6	0	13	6	2	0	1	15	2	1	1	0	5	0	0	10	0	0	13	8	0	0	0	1	6	0	0	0	0	0	0	4	0	14	30	0	0	82	0	0	5	113	2	38	105	13	0	4	0	190	10	30	1	59	5	0	0	0	0	44	0	3	21	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	42	0	0	0	0	1	2	0	0	0	1	1	13	3	0	0	0	0	8	0	1	11	1	366	43	1	1	1	0	0	8	1	0	0	0	1	0	1	0	2	0	0	0	0	0	19	0	0	0	0	0	0	0	0	14	1	2	0	6	0	0	66	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	84	0	1	0	0	3	2	3	0	0	0	17	0	0	0	0	0	22	0	0	0	0	0	16	3	0	21	2	0	1	6	0	0	0	0	0	0	0	35	0	0	0	1	0	0	8	0	1	0	0	0	23	7	96	1	0	0	8	0	1	0	0	1	0	0	0	0	0	0
OTU322	Euk	SAR	Str	Ch	Ch	Ch_Ochromonas	FR865769	100	94%	SAR	Str	Ch	Ch	Ch	Ochromonas-tuberculata	FR865769	5	0.191508122	98	1884	0	0	0	0	0	0	4	0	1	1	0	1	3	0	1	0	0	1	0	0	0	1	1	9	0	2	0	1	1	0	0	0	0	0	0	0	0	1	0	50	0	0	82	0	2	130	9	0	57	11	0	24	3	0	103	15	1	24	60	0	53	25	0	171	15	1	11	23	2	24	6	0	44	1	0	16	2	0	7	19	0	55	3	0	101	25	1	116	6	0	11	0	0	0	2	0	3	1	0	3	0	0	6	7	0	0	2	0	1	0	0	1	3	0	1	2	0	1	1	0	0	1	0	0	0	0	0	3	0	1	1	0	0	4	0	0	4	0	1	1	0	2	2	0	1	0	0	0	1	0	5	6	1	57	16	0	0	3	0	0	0	0	0	0	0	31	0	0	0	5	0	95	0	17	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	126	0	5	0	0	0	21	0	0	0	0	0	0	0	42	0	33	0	2
OTU284	Euk	SAR	Str	Ba	Co	Ch_Chaetoceros	JF790992	100	99%	SAR	Str	Ba	Co	Ch	Chaetoceros-muellerii	JF790992	2	0.028611099	92	1876	0	0	6	2	7	2	2	2	1	4	13	2	6	4	0	5	4	1	3	9	1	2	4	0	3	3	3	0	2	0	4	5	4	2	2	1	0	0	2	0	0	26	21	0	199	43	0	0	6	0	27	24	1	47	33	3	21	14	4	39	19	0	26	55	6	6	43	5	36	47	1	27	47	5	40	27	0	48	34	13	113	68	4	57	54	11	48	57	12	68	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	20	31	23	48	0	0	0	0	0	0	0	16	20	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	15	13	0	0
OTU292	Euk	SAR	Str	Di	Pe	Ap_Apedinella	HQ710559	100	97%	SAR	Str	Di	Pe	Pt	Pteridomonas-danica	AB081640	2	0.156672037	129	1870	6	0	10	3	5	12	10	10	20	13	11	11	15	7	10	9	13	13	14	10	2	5	7	33	15	13	9	9	2	3	9	27	2	4	5	10	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	8	1	0	0	0	0	2	0	0	14	0	0	5	0	0	0	0	0	5	0	0	4	0	0	2	0	1	2	5	0	64	1	0	20	2	0	34	1	0	11	0	0	5	2	0	5	4	0	6	0	0	10	0	0	10	1	0	16	0	0	1	1	0	4	0	0	1	1	0	0	9	0	2	2	0	9	9	0	3	0	0	3	0	0	5	6	0	5	0	0	3	1	0	10	0	0	18	1	0	5	0	1	1	11	0	0	0	0	1	0	60	0	36	0	95	0	1	0	40	1	117	0	19	27	0	11	0	0	0	0	0	12	0	6	0	1	0	42	0	7	0	0	75	3	35	0	27	27	20	0	3	0	0	9	8	3	1	0	19	0	48	0	2	0	0	8	0	6	17	0	0	131	0	13	0	0	0	35	0	0	0	2	0	11	0	64	0	68	0	39
